raw_name,grade,status,condition,stock,auction_price,scan_order,scanned_at,scan_marker,scan_session_id,screen_no,screen_item_no,source_bounds,source_hash,source_text
samsung GALAXY S23 ULTRA 256GB,AI,Terdaftar,Produk Only,1,4610000,47,2026-07-07 17:48:59,S0011-I07-O0047,20260707-174824,11,7,"[0,1737][1200,1929]",5ab136bd25d0,"samsung GALAXY S23 ULTRA 256GB AI (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 4,610,000"
samsung GALAXY S23 ULTRA 256GB,AF,Terdaftar,Produk Only,1,7140000,48,2026-07-07 17:49:03,S0012-I04-O0048,20260707-174824,12,4,"[0,954][1200,1205]",3b1d0e4f0085,"samsung GALAXY S23 ULTRA 256GB AF (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 7,140,000"
samsung GALAXY S23 ULTRA 256GB,AG,Terdaftar,Produk Only,1,6560000,49,2026-07-07 17:49:03,S0012-I05-O0049,20260707-174824,12,5,"[0,1205][1200,1457]",98ccf0655e8a,"samsung GALAXY S23 ULTRA 256GB AG (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 6,560,000"
samsung GALAXY S23 ULTRA 256GB,AI,Terdaftar,Produk Only,1,4610000,50,2026-07-07 17:49:03,S0012-I06-O0050,20260707-174824,12,6,"[0,1457][1200,1708]",5ab136bd25d0,"samsung GALAXY S23 ULTRA 256GB AI (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 4,610,000"
samsung GALAXY S23 ULTRA 512GB,AE,Terdaftar,Produk Only,1,7940000,51,2026-07-07 17:49:03,S0012-I07-O0051,20260707-174824,12,7,"[0,1708][1200,1929]",ccfdafae181e,"samsung GALAXY S23 ULTRA 512GB AE (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 7,940,000"
samsung GALAXY S23 ULTRA 512GB,AF,Terdaftar,Produk Only,1,7600000,52,2026-07-07 17:49:06,S0013-I04-O0052,20260707-174824,13,4,"[0,925][1200,1176]",72d1547fc578,"samsung GALAXY S23 ULTRA 512GB AF (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 7,600,000"
samsung GALAXY S23 PLUS 256GB,AD,Terdaftar,Produk Only,1,5470000,53,2026-07-07 17:49:06,S0013-I05-O0053,20260707-174824,13,5,"[0,1176][1200,1427]",e1d77a64881e,"samsung GALAXY S23 PLUS 256GB AD (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 5,470,000"
samsung GALAXY S23 PLUS 256GB,AI,Terdaftar,Produk Only,1,2680000,54,2026-07-07 17:49:06,S0013-I06-O0054,20260707-174824,13,6,"[0,1427][1200,1678]",7a0e2b728239,"samsung GALAXY S23 PLUS 256GB AI (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 2,680,000"
samsung GALAXY S23 ULTRA 256GB,AE,Terdaftar,Produk Only,1,7550000,55,2026-07-07 17:49:06,S0013-I07-O0055,20260707-174824,13,7,"[0,1678][1200,1929]",525edc59ccba,"samsung GALAXY S23 ULTRA 256GB AE (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 7,550,000"
samsung GALAXY S23 128GB,AI,Terdaftar,Produk Only,1,2340000,56,2026-07-07 17:49:10,S0014-I04-O0056,20260707-174824,14,4,"[0,895][1200,1146]",f02e5bf9abe5,"samsung GALAXY S23 128GB AI (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 2,340,000"
samsung GALAXY S23 256GB,AJ,Terdaftar,Produk Only,1,2390000,57,2026-07-07 17:49:10,S0014-I05-O0057,20260707-174824,14,5,"[0,1146][1200,1397]",eaac4264b235,"samsung GALAXY S23 256GB AJ (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 2,390,000"
samsung GALAXY S23 256GB,AD,Terdaftar,Produk Only,1,5330000,58,2026-07-07 17:49:10,S0014-I06-O0058,20260707-174824,14,6,"[0,1397][1200,1649]",a213e318b127,"samsung GALAXY S23 256GB AD (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 5,330,000"
samsung GALAXY S23 256GB,AE,Terdaftar,Produk Only,1,5180000,59,2026-07-07 17:49:10,S0014-I07-O0059,20260707-174824,14,7,"[0,1649][1200,1900]",5048c940d310,"samsung GALAXY S23 256GB AE (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 5,180,000"
samsung GALAXY S23 128GB,AI,Terdaftar,Produk Only,1,2340000,60,2026-07-07 17:49:13,S0015-I07-O0060,20260707-174824,15,7,"[0,1614][1200,1865]",f02e5bf9abe5,"samsung GALAXY S23 128GB AI (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 2,340,000"
samsung GALAXY S21 FE 256GB,AI,Terdaftar,Produk Only,1,1200000,61,2026-07-07 17:49:16,S0016-I04-O0061,20260707-174824,16,4,"[0,820][1200,1072]",98fd8313579e,"samsung GALAXY S21 FE 256GB AI (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 1,200,000"
samsung GALAXY S21 FE 256GB,AI,Terdaftar,Produk Only,1,1200000,62,2026-07-07 17:49:16,S0016-I05-O0062,20260707-174824,16,5,"[0,1072][1200,1323]",98fd8313579e,"samsung GALAXY S21 FE 256GB AI (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 1,200,000"
